item,count
South Indian Filter Kaapi (150 ML),338
Baked Vada Pav,289
South Indian Filter Kaapi (250 ML),243
Origanal South Indian Frappe (350 ML),228
Cappucino (250 ML),220
Vietnamese (350 ML),153
Classic Frappe (350 ML),151
Papparoti (Plain),150
Iced Latte (350 ML),148
Hot Chocolate (250 ML),142
Hazelnut Frappe (350 ML),138
Americano (250 ML),132
Madagascar Chocochip Frappe (350 ML),122
Chicken Calzone,112
Hyderabadi Chicken Keema Pav,112
Iced Americano (350 ML),110
Papparoti (Add On Nutella sauce),103
Baked Pav Bhaji,99
Choco-crinkle-cookies (COMBO 3 PCS),98
Kaapicino (250 ML),93
